"code","iso","country","FOR.raw.2000"
4,"AFG","Afghanistan",205770.3033
8,"ALB","Albania",648680.1077
12,"DZA","Algeria",1223608.228
16,"ASM","American Samoa",NA
20,"AND","Andorra",19003.92345
24,"AGO","Angola",55315324.32
660,"AIA","Anguilla",2125.767403
28,"ATG","Antigua and Barbuda",19323.34434
32,"ARG","Argentina",39086934.82
51,"ARM","Armenia",336842.0345
533,"ABW","Aruba",24.95241083
36,"AUS","Australia",42309945.69
40,"AUT","Austria",4336043.064
31,"AZE","Azerbaijan",1268610.33
44,"BHS","Bahamas",303575.4214
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",1959818.374
52,"BRB","Barbados",5229.736146
112,"BLR","Belarus",9106663.591
56,"BEL","Belgium",865425.8356
84,"BLZ","Belize",1748274.973
204,"BEN","Benin",168568.2499
60,"BMU","Bermuda",604.7941316
64,"BTN","Bhutan",2577234.531
68,"BOL","Bolivia",64521463.96
70,"BIH","Bosnia and Herzegovina",2657977.372
72,"BWA","Botswana",20328.48326
76,"BRA","Brazil",519187505.2
92,"VGB","British Virgin Islands",7463.880884
96,"BRN","Brunei Darussalam",529338.8977
100,"BGR","Bulgaria",4138948.34
854,"BFA","Burkina Faso",132.1084525
108,"BDI","Burundi",537776.2038
116,"KHM","Cambodia",8810198.041
120,"CMR","Cameroon",31459331
124,"CAN","Canada",418066969.3
132,"CPV","Cape Verde",7355.953906
136,"CYM","Cayman Islands",13458.3907
140,"CAF","Central African Republic",47076844.28
148,"TCD","Chad",409749.2184
152,"CHL","Chile",19287066.42
156,"CHN","China",162739064.4
170,"COL","Colombia",81781025.75
174,"COM","Comoros",134784.166
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",3913049.092
384,"CIV","Cote d'Ivoire",14872640.2
191,"HRV","Croatia",2431307.001
192,"CUB","Cuba",4014607.344
531,"CUW","Curacao",5260.667768
196,"CYP","Cyprus",89657.93338
203,"CZE","Czech Republic",3078239.305
180,"COD","Dem. Rep. Congo",199224308.2
208,"DNK","Denmark",663203.784
262,"DJI","Djibouti",0
212,"DMA","Dominica",70924.8262
214,"DOM","Dominican Republic",2576426.321
218,"ECU","Ecuador",19065845.07
818,"EGY","Egypt",154302.7582
222,"SLV","El Salvador",988823.0839
226,"GNQ","Equatorial Guinea",2654594.902
232,"ERI","Eritrea",3.78945374
233,"EST","Estonia",2639428.158
231,"ETH","Ethiopia",12040332.24
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",1617794.501
246,"FIN","Finland",21627650.23
250,"FRA","France",16783020.19
254,"GUF","French Guiana",8162751.47
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",24690965.71
270,"GMB","Gambia",4562.45665
268,"GEO","Georgia",3144573.092
276,"DEU","Germany",12526554.27
288,"GHA","Ghana",6955668.12
292,"GIB","Gibraltar",119.8535095
300,"GRC","Greece",3672496.621
304,"GRL","Greenland",228.1125262
308,"GRD","Grenada",28534.39673
312,"GLP","Guadeloupe",94757.79386
316,"GUM","Guam",NA
320,"GTM","Guatemala",7693456.322
324,"GIN","Guinea",8159637.373
624,"GNB","Guinea-Bissau",1069848.463
328,"GUY","Guyana",18996031.44
332,"HTI","Haiti",858466.3059
336,"VAT","Holy See",NA
340,"HND","Honduras",7740482.355
344,"HKG","Hong Kong",62046.25276
348,"HUN","Hungary",1990161.219
352,"ISL","Iceland",NA
356,"IND","India",38813138.45
360,"IDN","Indonesia",160974919.3
364,"IRN","Iran",1731595.626
368,"IRQ","Iraq",17502.02372
372,"IRL","Ireland",841570.7698
833,"IMN","Isle of Man",13217.05856
376,"ISR","Israel",29485.28522
380,"ITA","Italy",9318960.605
388,"JAM","Jamaica",768439.9916
392,"JPN","Japan",26387250.17
400,"JOR","Jordan",2271.393285
398,"KAZ","Kazakhstan",4240316.035
404,"KEN","Kenya",3319482.42
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",370224.0999
414,"KWT","Kuwait",0
417,"KGZ","Kyrgyzstan",674974.2564
418,"LAO","Laos",19118455.02
428,"LVA","Latvia",3553506.981
422,"LBN","Lebanon",65235.10923
426,"LSO","Lesotho",6052.004266
430,"LBR","Liberia",9384713.323
434,"LBY","Libya",6833.009331
438,"LIE","Liechtenstein",9077.338
440,"LTU","Lithuania",2335002.062
442,"LUX","Luxembourg",101326.3847
