"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.54,2.57,0.86008600860086,0.84991500849915,0.75,0,0,0,0,0,0,0,0,0,0,5.0994900509949,0,0,0,0,5.38946105389461,8.4,5.82,3.05030503050305,1.36,1.91,2.1995600879824,2.00979902009799,1.71017101710171,1.46,1.48,1.49,1.82,1.84018401840184,1.75,1.68983101689831,1.49,1.61,1.55,2.17,1.78,1.48014801480148,0.8,0.779844031193761,2.0997900209979,7.76922307769223,14.74,16.74,17.23,29.32,65.2034796520348
16,"ASM","American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,8.71,8.61,8.31,9.97,11.65,15.4015401540154,14.19,18.36,15.6184381561844,16.81,13.24,13.1013101310131,6.99,3.95,3.05,2.03020302030203,1.51015101510151,1.35,1.07989201079892,3.95,1.15,0.84,16.5716571657166,31.63,83.02,17.68,20.8479152084792,20.5120512051205,22.57,20.8120812081208,17.95,17.4017401740174,13.5386461353865,40.6659334066593
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,2.6,2.05,1.73,8.66086608660866,13.6,22.06,18.43,22.29,26.0873912608739,26.35,24.09,19.68,17.4182581741826,17.23,12.1,12.0812081208121,7.01,6.24,3.66,13.5186481351865,25.29,37.64,40.67,43.76,56.39,59.65,63.7036296370363,58.83,61.9361936193619,58.5,54.6354635463546,41.21,32.56,13.04,5.37,8.16,12.6312631263126,16.49,12.0912091209121,11.47,23.36,34.71,43.7,39.5,30.92,25.3874612538746,23.4676532346765,24.74,29.13,27.982798279828,29.97,27.93,18.5518551855185,21.23,17.76,18.2981701829817,10.47,10.97,12.34,12.2712271227123,10.85
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06,4.02,4.31,4.37,4.84,5.84,14.55,7.31,6.64,4.74,10.82,14.61,13.5186481351865,1.52015201520152,27.63,25.7774222577742,13.59,12.85,1.17,0,12.6912691269127,0,10.93,2.53,3.15,1.67,1.54,2,2.15,2.02020202020202,1.86,1.93,2.06,2.15,2.12,1.73,1.81,1.88,1.87,1.71,1.66,1.7,1.75,1.73,1.7,1.63,1.58
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,2.38,3.05,2.98,3.9,5.25052505250525,7.82,3.49,2.5,1.85,5.1,7.24,7.1,9.26,0,0,2.26022602260226,0,0,7.44,23.3,67.28,71.4328567143286,64.33,31.2568743125687,61.32,63.8836116388361,59.77,1.48985101489851,1.36013601360136,23.1376862313769,0.5,64.84,65.75,0,24.36,16.75,17.7917791779178,17.96,0,31.27,46.1453854614539,49.62,30.77,27.7,27.48,38.25
32,"ARG","Argentina",0,0,0,0,0.46,0,0,0.46004600460046,0.43,1.41,2.34,2.72027202720272,2.33,1.31,0.96,0.54005400540054,5.34,5.03,7.32,6.4,8.12,7.65076507650765,5.56,4.81,6.09,7.75,6.41935806419358,4.54954504549545,3.46,4.45,5.4,7.23927607239276,9.05,10.9089091090891,11.04,11.23,8.72912708729127,9.22907709229077,7.00929907009299,7.19071907190719,4.29,4.09,3.12968703129687,3.41034103410341,2.51,1.91,1.56,1.84981501849815,13.8213821382138,26.49,40.63,35.993599359936,44.45,36.2436243624363,34.19,13.47,19.83,12.5512551255126,25.7774222577742,29.98,51.78,61.64,69.58,74.55,73.96
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
