"code","iso","country","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,23378628008.9566,25352757518.2174,25620370017.4831,28483515603.8497,30065529260.2352,34196594611.8752,35431559620.9183,42879503310.6483,46495656381.9102,49338254430.557,56460103813.5996,57566226632.6841,58321801149.6039,58812123337.7274,NA
8,"ALB","Albania",12803236635.1813,13956661343.9337,15840974389.425,16897032037.7935,18238712381.9377,19010459970.624,20108027084.2809,21256106268.0238,22472129836.5441,23692594069.5631,25090457121.7218,26979768540.3481,27883590788.8437,28918072005.3812,29655482843.0915,30076590698.9138,30410440853.4357,30957828788.2172,31824647994.4531,NA
12,"DZA","Algeria",282761506464.142,297182353497.983,306692193424.73,318406849179.433,327985786401.807,346383569171.663,371329671295.825,387302878537.758,410183924183.221,417093424469.858,431161464955.46,441337456994.146,448541160440.946,464841798178.117,478284400071.981,494425392067.335,508109301381.061,527362178700.557,547209280037.938,NA
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",50789266063.2324,54245354799.5022,56002795625.6121,57689642487.7707,60124702190.7584,55951770351.3937,58887836445.9306,65294584235.9224,77218322300.7962,93229637862.261,114293060567.375,130085099395.258,133223883333.083,137763693380.123,143162097316.44,150542734126.265,160800092436.219,168525688985.459,173593223666.649,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1313630693.13452,1371531251.06693,1428060345.57257,1500059853.6245,1452144313.3616,1494608664.21308,1582994311.85634,1666678042.1096,1768065874.63781,2004569441.56413,2194982379.88446,2196543254.2552,1932166977.42596,1794152457.65239,1761975488.69485,1829590748.19478,1825929871.54892,1909973652.64697,1988798233.49736,NA
32,"ARG","Argentina",554687591823.056,576044056175.667,556542332118.722,552151219022.903,527807756970.741,470305820963.441,511866938226.858,558086338623.306,607486243374.952,656371581743.213,715495242296.696,744524552113.103,700459679766.917,771384011298.036,817697534675.125,809304519853.15,828770913979.822,807947088975.413,829335641342.87,NA
51,"ARM","Armenia",7648432625.56006,8206768207.22595,8477591558.06441,8977769459.99019,9835742701.57703,11132713293.7678,12695834751.5139,14024814656.6168,15969454960.225,18077104187.2779,20562561750.2571,21981378511.3708,18871015949.0773,19286178299.7958,20192628679.6198,21646497945.2151,22360832377.7968,23165822343.3975,23860797013.6994,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3671232222.36581,NA,NA,NA,NA,NA
36,"AUS","Australia",592605212784.863,618906474696.507,649895718226.32,675037958852.29,688062052105.557,714598449899.921,736542329963.106,767104228441.761,791702517121.056,815317976252.411,845954836306.757,877311840045.512,893276092878.632,911304031483.534,932989069866.557,966881953234.219,990474347265.362,1015234732343.37,1037976280455.57,NA
40,"AUT","Austria",280405479836.61,290387822157.043,300812709402.453,310945307913.316,315144674296.455,320363012962.194,322785458951.728,331519204194.791,338615978101.225,349962428477.397,362636354303.012,368247295481.329,354257304362.332,361089769540.968,371229170024.562,373997634205.319,374462227326.591,376876927646.277,380506472551.616,NA
31,"AZE","Azerbaijan",27343029882.1875,30077332946.4722,32303055759.463,35888694707.6342,39441675483.6899,43622492770.0479,48508212063.743,53456049887.4524,67568447489.7946,90879561542.8867,113643982480.432,125886190467.364,137732903988.907,144418926509.107,144514131462.76,147693442627.257,156254756508.811,159379851638.987,161133030007.016,NA
44,"BHS","Bahamas",6589054572.66598,6899825606.88833,7392758113.34085,7699501863.20183,7901662072.30342,8115372756.69145,8012734015.64502,8083477180.86788,8357934889.03373,8568292730.11129,8692234987.92507,8490232901.36651,8135743673.15397,8260934776.35865,8311566260.03648,8568115783.45599,8568998903.23715,8524058540.3123,8382248542.70196,NA
48,"BHR","Bahrain",25953426454.9482,27196596305.8658,28366049664.2761,29869448819.7681,30613506815.652,31719924348.4593,33630717110.6169,35978459642.4092,38413819883.7693,40898643818.1826,44290140880.7705,47056117021.3547,48251235326.6764,50342640290.6554,51341141014.8994,53255194421.3703,56139942993.7443,58582302008.6935,60259487465.9265,NA
50,"BGD","Bangladesh",186385341419.141,196034560632.586,205189681149.996,216050975705.134,227020505484.482,235722482829.044,246894708777.71,259830838298.284,276813238827.961,295281853462.91,316124725281.398,335135801636.774,352043821059.316,371659006686.465,395684471605.039,421488777535.966,446835410086.698,473918520089.175,504972662927.365,NA
52,"BRB","Barbados",3584266904.65739,3718334903.38122,3730451836.21048,3896571076.61173,3804326039.58892,3834422937.26161,3917677991.86271,3972790492.79583,4130310619.5763,4364441031.34181,4441442185.1278,4459031281.17029,4279231632.736,4290175959.16243,4322618069.64079,4335516740.07195,4332389789.6644,4340988903.28517,4379294045.77769,NA
112,"BLR","Belarus",61585847345.4544,66759058522.4725,69028866512.2365,73032540769.9463,76483551805.4746,80342351448.0742,86001018060.3157,95847913542.8299,104857617415.856,115343379157.442,125262909765.141,138039726561.309,138315806014.492,149022529944.618,157283909016.623,160007108813.136,161724946415.46,164511606330.176,158115891074.683,NA
56,"BEL","Belgium",348932173215.655,355825368783.421,368503759737.252,381894601787.308,384994226724.687,391848098755.09,394882955332.968,409236068909.114,417807456931.269,428249029019.709,442798760773.129,446107725869.705,435913661112.36,447662164658.545,455704997289.374,456329548547.955,456023055788.2,463561620993.921,470516115211.729,NA
84,"BLZ","Belize",1350135251.83253,1400643225.67656,1523624903.64829,1722286730.5402,1808670828.82158,1901248720.32149,2078569401.98954,2175232607.59889,2231326245.11524,2333578115.717,2359348070.95975,2435519504.93029,2454976338.60754,2536529449.97818,2589828754.99832,2686698948.19999,2721990332.68905,2833142669.76019,2862715042.83907,NA
204,"BEN","Benin",9869516848.91402,10260449609.263,10808506330.4841,11441883947.698,12051783371.8559,12611524838.1216,13045871409.6567,13623755116.011,13856936260.6803,14403871439.8246,15266161439.334,16013194854.7505,16384577181.2719,16731414124.1439,17227124154.8024,18055797650.6181,19354568602.8494,20585039357.0999,21016184356.8545,NA
60,"BMU","Bermuda",2692970077.33757,2797995910.35374,2892642283.03342,3162154264.8163,3390538833.08688,3340433776.56587,3454366158.62813,3534551202.2428,3593726911.16702,3792958312.94401,3900901738.61185,3960503378.69618,3751223364.15495,3672668487.99025,3550019929.12843,3378392789.57695,3293556129.34525,NA,NA,NA
64,"BTN","Bhutan",1659196959.50421,1757322379.29636,1897626506.3928,2029189412.06141,2195659522.64461,2431206376.61147,2617542154.5688,2771883124.6013,2969312153.57852,3172691208.63935,3741422280.73992,3919826548.16105,4180778173.88848,4671219172.59607,5039821055.27253,5295426154.38932,5408880477.24548,5719645280.13305,6090928651.54039,NA
68,"BOL","Bolivia",34032255779.771,35743858654.2112,35896443976.2768,36796658878.3586,37416240699.3979,38346245958.6093,39385943001.2816,41029634823.3041,42843732689.2195,44898950326.6641,46948266347.7921,49835212749.9105,51507469046.6907,53633999691.8087,56423836722.3622,59314074967.5846,63346582769.8595,66804663950.5043,70043837564.7398,NA
70,"BIH","Bosnia and Herzegovina",17830246349.6296,20611764131.7866,22590493446.2018,23832970684.1993,24881621276.7271,26200347270.8874,27248361178.8457,28910511148.3996,31442560317.2824,33133691073.4461,35031839744.3309,36952112796.7628,35891631029.6309,36167011089.6132,36495497234.9909,36154925783.4049,37020544116.613,37421060376.4463,38556724717.0641,NA
72,"BWA","Botswana",15972033644.7243,16087350634.3742,17642553549.1303,17993233854.6345,18038320196.4525,19133161608.7818,20018241535.1712,20559899465.9221,21496741232.0871,23294700952.7663,25222748318.6472,26798019287.2298,24747351726.8781,26866623791.8741,28491602186.8884,29761235623.3402,32695694859.8627,33743572317.2544,33657545969.2883,NA
76,"BRA","Brazil",1899052599714.69,1905478161533.41,1914416122921.14,1993147728618.01,2020849834473.26,2082552517871.61,2106314588150.41,2227635696680.94,2298967603741.76,2390050462304.47,2535123486323.38,2664271353689.57,2660917753768.96,2861237591078.04,2974955344832.28,3032108708886.12,3123219493122.47,3138959326013.66,3020644017826.66,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",25942285018.5715,25797395100.3918,26584772020.3639,27342284298.9552,28092567740.198,29180339282.9184,30027723243.4145,30179158572.138,30296104896.6712,31628442809.177,31677334517.9262,31062884664.7256,30514768967.7201,31307837411.1498,32480415591.3426,32776910359.7628,32080063898.3911,31326263639.6957,31148701800.9807,NA
