"code","iso","country","biome","biome_description","TPA.raw.1990","TPA.raw.1991","TPA.raw.1992","TPA.raw.1993","TPA.raw.1994","TPA.raw.1995","TPA.raw.1996","TPA.raw.1997","TPA.raw.1998","TPA.raw.1999","TPA.raw.2000","TPA.raw.2001","TPA.raw.2002","TPA.raw.2003","TPA.raw.2004","TPA.raw.2005","TPA.raw.2006","TPA.raw.2007","TPA.raw.2008","TPA.raw.2009","TPA.raw.2010","TPA.raw.2011","TPA.raw.2012","TPA.raw.2013","TPA.raw.2014","TPA.raw.2015","TPA.raw.2016","TPA.raw.2017"
4,"AFG","Afghanistan",5,"Temperate Conifer Forests                               ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"AFG","Afghanistan",10,"Montane Grasslands & Shrublands                         ",75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,478.65,478.65,478.65,478.65,478.65,478.65,478.65,478.65
4,"AFG","Afghanistan",13,"Deserts & Xeric Shrublands                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.48,194.48,194.48,194.48,194.48,194.48,194.48,194.48
4,"AFG","Afghanistan",8,"Temperate Grasslands, Savannas & Shrublands             ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",4,"Temperate Broadleaf & Mixed Forests                     ",47.88,47.88,47.88,47.88,362.63,47.88,47.88,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,362.63,845.64,845.64,845.64,845.64
8,"ALB","Albania",12,"Mediterranean Forests, Woodlands & Scrub                ",287.36,287.36,287.36,287.36,1074.76,287.36,434.88,736.14,736.14,736.14,981.11,981.11,981.11,1011.05,1074.76,1333.06,1821.57,2353.69,2761.8,3440.79,3440.79,3567.18,3567.18,3814.61,4253.22,4253.22,4253.22,4253.22
12,"DZA","Algeria",9,"Flooded Grasslands & Savannas                           ",0,0,0,0,5863.07,0,0,0,0,0,0,0,2171.41,2171.41,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07,5863.07
12,"DZA","Algeria",12,"Mediterranean Forests, Woodlands & Scrub                ",1978.45,1978.45,1978.45,1978.45,19511.15,2042.95,2042.95,2042.95,2368.32,2368.32,2553.03,2553.03,15904.68,16149.98,19511.15,20556.32,20556.32,20556.32,20556.32,20556.32,20638.7,20638.7,20729.41,20729.41,20729.41,20729.41,20729.41,20729.41
12,"DZA","Algeria",13,"Deserts & Xeric Shrublands                              ",144069.68,144069.68,144069.68,144069.68,146776.93,144069.68,144069.68,144069.68,144069.68,144069.68,144069.68,144069.68,146496.47,146496.47,146776.93,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26,147105.26
12,"DZA","Algeria",5,"Temperate Conifer Forests                               ",249.47,249.47,249.47,249.47,546.94,249.47,249.47,249.47,262.66,262.66,262.66,262.66,339.82,339.82,546.94,547.04,547.04,547.04,547.04,547.04,671.73,671.73,671.73,671.73,671.73,671.73,671.73,671.73
