"code","iso","country","USD.raw.2000","USD.raw.2005","USD.raw.2010","USD.raw.2016"
4,"AFG","Afghanistan",1550.06025356,1511.90078152,724.793107542,581.069079984
8,"ALB","Albania",48.4612410035,27.9446617407,23.6667626449,20.4821083309
12,"DZA","Algeria",84.0322319803,56.076990105,36.3605169211,25.5373301881
16,"ASM","American Samoa",66.7449405747,63.1087633731,64.0807369751,64.4979897366
20,"AND","Andorra",1.46373403473,1.27235475641,1.18123492177,1.06355591941
24,"AGO","Angola",8155.58716075,5221.22734631,3314.06724084,1974.84626916
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",74.2919023896,57.4426439674,56.0315699108,54.898191326
32,"ARG","Argentina",40.840790389,23.3017700187,15.6070683133,9.97565017954
51,"ARM","Armenia",195.618159836,88.0870658522,53.5810222655,39.4614808718
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",1.47544868118,1.33159224324,1.09872181963,0.908943030422
40,"AUT","Austria",5.0744672401,4.77857822254,4.12434735117,3.25092193763
31,"AZE","Azerbaijan",521.375332489,294.258956072,150.751050845,111.181367515
44,"BHS","Bahamas",43.7351594726,40.2402700884,42.051653283,45.2600408777
48,"BHR","Bahrain",37.1271413283,29.7994466067,24.6531418609,21.5546069155
50,"BGD","Bangladesh",1578.60081705,1048.84869071,683.083146436,453.260835811
52,"BRB","Barbados",56.7785489465,49.7164038907,47.9221675231,48.1242585798
112,"BLR","Belarus",40.6015418923,26.3584011923,21.7245216282,22.2048458889
56,"BEL","Belgium",2.6176593813,2.7776410361,2.57816869027,2.04504106094
84,"BLZ","Belize",207.726450431,141.184841878,110.657370639,92.7899592668
204,"BEN","Benin",3702.57680465,3443.17988597,3404.16127245,2563.67638937
60,"BMU","Bermuda",35.5277405786,35.0356810386,36.5737916115,37.3447645259
64,"BTN","Bhutan",1193.40163127,754.916819152,539.206957853,378.395969727
68,"BOL","Bolivia",606.197683494,419.995657935,220.081177906,118.584073801
70,"BIH","Bosnia and Herzegovina",25.6147700816,17.9448211021,13.1489006596,11.5011740455
72,"BWA","Botswana",1713.72503762,1458.74673926,1227.885837,759.074396944
76,"BRA","Brazil",413.082828867,274.587094442,179.278643854,133.501201231
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam",2.9943769878,2.18520507192,1.84963071038,1.66235736959
100,"BGR","Bulgaria",9.64219005419,9.64090110565,9.97172171667,9.88753367323
854,"BFA","Burkina Faso",5087.49521038,4031.88665502,2873.7996072,2177.18032401
108,"BDI","Burundi",5554.64136068,5725.4769767,4874.27500856,3862.18218704
116,"KHM","Cambodia",1420.36494413,890.269422508,499.404360357,272.920356201
120,"CMR","Cameroon",3445.00547378,2750.13877774,2354.12209245,1464.2720539
124,"CAN","Canada",2.52847318494,3.68836691278,4.2029766826,3.52584578973
132,"CPV","Cape Verde",469.186990545,318.616425194,244.94753706,177.02715941
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic",4067.06893265,4668.8398261,4844.51070313,4447.27609125
148,"TCD","Chad",6334.30688108,5723.77304352,5158.15978203,4081.01370071
152,"CHL","Chile",19.3935266057,12.5299315057,9.86553191172,7.761990501
156,"CHN","China",136.896990187,76.9298897553,35.1418051793,21.0155115725
170,"COL","Colombia",162.345100333,71.7855344795,39.005269102,26.7120316938
174,"COM","Comoros",4636.98260002,3281.39840367,2513.16394264,1983.0279491
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica",43.3300015284,27.9335580264,21.665246872,19.0221905956
384,"CIV","Cote d'Ivoire",2679.69272791,2557.06299489,2330.24647181,1958.07287961
191,"HRV","Croatia",13.0381943727,12.6709801933,12.4611498415,11.8331283963
192,"CUB","Cuba",64.7443217286,50.8946524759,47.9557901332,41.5898446009
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus",5.39530512392,3.94995830686,3.20025217066,2.78607095605
203,"CZE","Czech Republic",6.3414648611,7.66930172514,9.73444975606,11.0021907681
180,"COD","Dem. Rep. Congo",3092.34151041,2922.62933218,2460.32646176,1916.75500736
208,"DNK","Denmark",1.86541142396,1.91060942577,1.90692258788,1.62957041381
262,"DJI","Djibouti",2125.89826466,1773.53205816,1345.21758818,888.081016538
212,"DMA","Dominica",99.4321334108,80.8833711429,77.9093685992,73.3685294692
214,"DOM","Dominican Republic",367.523097206,238.861669845,166.3519884,117.244775218
218,"ECU","Ecuador",248.693026671,151.605713864,102.734034127,78.8311814909
818,"EGY","Egypt",739.675158009,595.027598526,527.431289697,345.273000917
222,"SLV","El Salvador",508.853785339,307.022062355,205.893813038,171.858153324
226,"GNQ","Equatorial Guinea",1113.45056986,751.651316155,426.218855914,312.948833506
232,"ERI","Eritrea",3942.5570425,3482.58740971,3167.55473268,2407.63059573
233,"EST","Estonia",41.1986099349,41.4309278109,45.1384660737,43.58319898
231,"ETH","Ethiopia",4586.37507066,3751.61001868,2950.49104628,2094.72555762
234,"FRO","Faeroe Islands",NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA
242,"FJI","Fiji",186.613638594,166.814828077,175.968525285,146.496387653
246,"FIN","Finland",2.98726216374,2.4659188828,1.95361809255,1.47073540499
250,"FRA","France",3.26340755496,2.59871386236,2.47466000501,2.12544161488
254,"GUF","French Guiana",NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA
266,"GAB","Gabon",1284.79875315,1232.55823548,1045.97928413,750.703294838
270,"GMB","Gambia",1908.61206488,1796.77041067,1466.71376266,1142.07530489
268,"GEO","Georgia",133.201276397,75.1477547164,56.2359202654,46.4563577395
276,"DEU","Germany",2.18238263598,2.29268902379,2.65520253631,2.19577445561
288,"GHA","Ghana",1632.2777668,1231.09677162,897.28388966,529.62187811
292,"GIB","Gibraltar",NA,NA,NA,NA
300,"GRC","Greece",1.99480366749,1.51771937763,1.30677387853,1.21502181082
304,"GRL","Greenland",12.2765426311,14.416670679,14.2819547612,11.7890826529
308,"GRD","Grenada",117.325112303,98.9273426869,92.5592530948,87.701479736
312,"GLP","Guadeloupe",NA,NA,NA,NA
316,"GUM","Guam",45.1712824065,45.4374845749,48.4967123437,50.0380215571
320,"GTM","Guatemala",1433.80042064,944.836519557,696.567908363,446.464128066
324,"GIN","Guinea",3605.17691507,3260.42218866,2200.01573746,1524.71403027
624,"GNB","Guinea-Bissau",4256.24266262,4202.90869509,2598.94059219,1946.21423387
328,"GUY","Guyana",715.842232418,422.842948206,300.113711065,167.416522501
332,"HTI","Haiti",2350.88917975,2092.55841994,3037.4461562,1266.29845873
336,"VAT","Holy See",NA,NA,NA,NA
340,"HND","Honduras",924.07406893,613.675515015,406.559849621,285.592989143
344,"HKG","Hong Kong",NA,NA,NA,NA
348,"HUN","Hungary",20.5028340372,17.7240952135,18.5826335531,19.3892094173
352,"ISL","Iceland",1.6481766979,1.45297581974,1.38058853071,1.07587622689
356,"IND","India",3363.56369074,2606.09784904,1872.98500662,1167.5938459
360,"IDN","Indonesia",1145.97398614,779.632353884,537.352578524,306.974833958
364,"IRN","Iran",74.8284027625,44.7221677268,34.0957253564,29.7017959979
368,"IRQ","Iraq",356.542591827,270.509826443,244.107964399,153.637700667
372,"IRL","Ireland",2.26897939286,1.72429691417,1.73389240451,1.37550579822
833,"IMN","Isle of Man",NA,NA,NA,NA
376,"ISR","Israel",3.81758741337,3.50992559356,3.61954801637,3.48462077994
380,"ITA","Italy",0.938950358439,0.899771997875,0.967167304413,0.882465630943
388,"JAM","Jamaica",98.9956852663,77.0285750491,82.1548814156,81.676227241
392,"JPN","Japan",1.90606809347,1.67863092232,1.52503542417,1.27646282695
400,"JOR","Jordan",34.7144027494,30.2674611527,21.1813973683,10.4673039735
398,"KAZ","Kazakhstan",235.742121309,90.5955734986,51.8395196189,38.6756265042
404,"KEN","Kenya",6487.77986864,6211.14925954,5347.26067336,4029.00181267
296,"KIR","Kiribati",1639.22445895,1173.82661494,1029.37140429,775.368852359
689,"XKX","Kosovo",NA,NA,NA,NA
414,"KWT","Kuwait",22.2130975174,20.0500653802,18.6062602711,17.9889709193
417,"KGZ","Kyrgyzstan",443.022187827,273.071012146,218.718926712,159.72705418
418,"LAO","Laos",2095.59311289,1451.05047996,958.451596782,529.839277173
428,"LVA","Latvia",49.3058615234,44.1523595165,44.0933017181,38.1938855703
422,"LBN","Lebanon",37.8910050912,29.4898555169,25.0924816051,22.4146549222
426,"LSO","Lesotho",5361.42493227,5079.90001697,4578.84459736,3358.62646267
430,"LBR","Liberia",7116.59103,5159.80971035,4098.52762118,2767.63845753
434,"LBY","Libya",122.238228373,93.0511128855,68.4422916902,56.2286871301
438,"LIE","Liechtenstein",NA,NA,NA,NA
440,"LTU","Lithuania",51.2033296355,50.7087306521,48.6673161948,44.5724746229
442,"LUX","Luxembourg",1.89532005128,1.76609789747,1.61075333972,1.27749719968
446,"MAC","Macao",NA,NA,NA,NA
807,"MKD","Macedonia",55.28500869,27.7844028288,17.6222774092,16.6272440274
450,"MDG","Madagascar",4792.75568345,4209.92522984,4097.3631717,3130.82159684
454,"MWI","Malawi",5121.68175304,4050.58835617,3087.02152755,2229.50227554
458,"MYS","Malaysia",28.3361876952,20.3812964466,17.9360292649,15.5547813544
462,"MDV","Maldives",102.953937869,68.9465307581,51.2445539916,36.4177084717
466,"MLI","Mali",7947.05850154,6267.17075326,5109.94461115,3367.1614019
470,"MLT","Malta",1.16906325334,1.05242150512,1.03475519908,0.883112864032
584,"MHL","Marshall Islands",500.245239778,182.742309007,137.691147204,103.280176557
474,"MTQ","Martinique",NA,NA,NA,NA
478,"MRT","Mauritania",4450.55656482,2811.30021216,1919.14496322,1378.41129212
480,"MUS","Mauritius",29.6354827244,21.4057101288,20.8456569163,17.1988709046
175,"MYT","Mayotte",NA,NA,NA,NA
484,"MEX","Mexico",188.381401938,95.0699969422,56.1705450517,43.3469759419
583,"FSM","Micronesia",662.501311882,133.599103752,109.572542829,92.2007567484
498,"MDA","Moldova",102.060017418,58.0184265394,53.4358293477,41.5710829534
492,"MCO","Monaco",NA,NA,NA,NA
496,"MNG","Mongolia",88.795379023,51.7202673026,48.2184304041,44.3559813234
499,"MNE","Montenegro",12.4600421437,8.82614442149,6.60942709713,5.70557853962
500,"MSR","Montserrat",NA,NA,NA,NA
504,"MAR","Morocco",537.436130072,357.472458435,220.307711171,114.432044925
508,"MOZ","Mozambique",3031.75346591,2271.7062648,1801.23485254,1176.44130936
