code,iso,country,LAND,PERM,logPERM,Regions
4,AFG,Afghanistan,58.06757957,0.180743191,0.166144064,Asia
8,ALB,Albania,43.84306569,2.554744526,1.268283197,E. Europe & Eurasia
12,DZA,Algeria,17.37133356,0.381653749,0.32328115,Middle East & N. Africa
16,ASM,American Samoa,24.5,9.5,2.351375257,Pacific
20,AND,Andorra,42.76595745,NA,NA,Europe
24,AGO,Angola,46.83564611,0.232614101,0.2091372,Sub-Saharan Africa
660,AIA,Anguilla,NA,NA,NA,Caribbean
28,ATG,Antigua and Barbuda,20.45454545,2.272727273,1.185623666,Caribbean
32,ARG,Argentina,53.89028352,0.365404923,0.311451032,Latin America
51,ARM,Armenia,60.94134176,1.935370566,1.076833703,E. Europe & Eurasia
533,ABW,Aruba,11.11111111,NA,NA,Caribbean
36,AUS,Australia,51.88289965,0.05206774,0.050757504,Pacific
40,AUT,Austria,33.65830618,0.790834555,0.582681743,Europe
31,AZE,Azerbaijan,57.67034456,2.75116144,1.322065509,E. Europe & Eurasia
44,BHS,Bahamas,1.498501499,0.3996004,0.336186767,Caribbean
48,BHR,Bahrain,11.28608924,3.937007874,1.596759454,Middle East & N. Africa
50,BGD,Bangladesh,70.99177998,6.529922409,2.018884738,Asia
52,BRB,Barbados,34.88372093,2.325581395,1.201644515,Caribbean
112,BLR,Belarus,43.85411533,0.601281419,0.470804196,E. Europe & Eurasia
56,BEL,Belgium,44.77212682,0.71664465,0.540371601,Europe
84,BLZ,Belize,6.882946076,1.402893468,0.876673623,Latin America
204,BEN,Benin,30.50727208,3.103937567,1.411946895,Sub-Saharan Africa
60,BMU,Bermuda,6,NA,NA,Caribbean
64,BTN,Bhutan,13.64220689,0.325314164,0.281649536,Asia
68,BOL,Bolivia,34.63121942,0.202160066,0.184119994,Latin America
70,BIH,Bosnia and Herzegovina,41.875,2.05078125,1.115397705,E. Europe & Eurasia
72,BWA,Botswana,45.63195878,0.003529017,0.003522805,Sub-Saharan Africa
76,BRA,Brazil,32.71816457,0.849471294,0.614899811,Latin America
92,VGB,British Virgin Islands,46.66666667,6.666666667,2.036881927,Caribbean
96,BRN,Brunei Darussalam,2.542694497,1.138519924,0.760113965,Asia
100,BGR,Bulgaria,46.53647752,1.510685335,0.920555758,E. Europe & Eurasia
854,BFA,Burkina Faso,44.15204678,0.292397661,0.256499145,Sub-Saharan Africa
108,BDI,Burundi,71.37850467,15.57632399,2.807975411,Sub-Saharan Africa
116,KHM,Cambodia,30.90301382,0.878087469,0.630253955,Asia
120,CMR,Cameroon,20.51998054,3.173192867,1.428681418,Sub-Saharan Africa
124,CAN,Canada,6.957555443,0.552152029,0.439642374,North America
132,CPV,Cape Verde,19.35483871,0.744416873,0.55642033,Sub-Saharan Africa
136,CYM,Cayman Islands,11.25,2.083333333,1.126011263,Caribbean
140,CAF,Central African Republic,8.154354875,0.128415037,0.120814026,Sub-Saharan Africa
148,TCD,Chad,39.33846887,0.027795426,0.027416145,Sub-Saharan Africa
152,CHL,Chile,21.1732649,0.614633936,0.479108266,Latin America
156,CHN,China,54.80809922,1.544490212,0.93393032,Asia
170,COL,Colombia,38.30824696,1.433077963,0.889157107,Latin America
174,COM,Comoros,71.46695325,28.4793122,3.383688736,Sub-Saharan Africa
184,COK,Cook Islands,NA,NA,NA,Pacific
188,CRI,Costa Rica,35.62475519,6.169212691,1.969795843,Latin America
384,CIV,Cote d'Ivoire,64.77987421,14.1509434,2.7180628,Sub-Saharan Africa
191,HRV,Croatia,23.83488206,1.501072194,0.916719518,E. Europe & Eurasia
192,CUB,Cuba,60.70274333,3.945885006,1.598555919,Caribbean
531,CUW,Curacao,NA,NA,NA,Caribbean
196,CYP,Cyprus,12.39177489,3.235930736,1.443603076,Europe
203,CZE,Czech Republic,54.81615743,0.996892802,0.691592373,E. Europe & Eurasia
180,COD,Dem. Rep. Congo,11.36498974,0.337442932,0.290759532,Sub-Saharan Africa
208,DNK,Denmark,61.89017205,0.11784115,0.111399281,Europe
262,DJI,Djibouti,73.40811044,NA,NA,Sub-Saharan Africa
212,DMA,Dominica,33.33333333,22.66666667,3.164067588,Caribbean
