code,iso,country,Region,EPI.new,EPI.rnk.new,EPI.rnk.rgn,EPI.avg.rgn,HLT.rnk.rgn,HLT.avg.rgn,ECO.rnk.rgn,ECO.avg.rgn,HMT.rnk.rgn,HMT.avg.rgn,AIR.rnk.rgn,AIR.avg.rgn,H2O.rnk.rgn,H2O.avg.rgn,WRS.rnk.rgn,WRS.avg.rgn,AGR.rnk.rgn,AGR.avg.rgn,FRT.rnk.rgn,FRT.avg.rgn,FSH.rnk.rgn,FSH.avg.rgn,BDH.rnk.rgn,BDH.avg.rgn,CCE.rnk.rgn,CCE.avg.rgn,APE.rnk.rgn,APE.avg.rgn,PBD.rnk.rgn,PBD.avg.rgn,PME.rnk.rgn,PME.avg.rgn,PMW.rnk.rgn,PMW.avg.rgn,HAD.rnk.rgn,HAD.avg.rgn,USD.rnk.rgn,USD.avg.rgn,UWD.rnk.rgn,UWD.avg.rgn,WWT.rnk.rgn,WWT.avg.rgn,SNM.rnk.rgn,SNM.avg.rgn,TCL.rnk.rgn,TCL.avg.rgn,FSS.rnk.rgn,FSS.avg.rgn,MTR.rnk.rgn,MTR.avg.rgn,MPA.rnk.rgn,MPA.avg.rgn,TBN.rnk.rgn,TBN.avg.rgn,TBG.rnk.rgn,TBG.avg.rgn,PAR.rnk.rgn,PAR.avg.rgn,SPI.rnk.rgn,SPI.avg.rgn,SHI.rnk.rgn,SHI.avg.rgn,DCT.rnk.rgn,DCT.avg.rgn,DMT.rnk.rgn,DMT.avg.rgn,DNT.rnk.rgn,DNT.avg.rgn,DBT.rnk.rgn,DBT.avg.rgn,DPT.rnk.rgn,DPT.avg.rgn,DST.rnk.rgn,DST.avg.rgn,DXT.rnk.rgn,DXT.avg.rgn
4,AFG,Afghanistan,Asia,37.74,168,22,50.13346154,18,49.11423077,24,50.81384615,26,48.35153846,15,49.20269231,21,49.05,18,39.01961538,6,32.57423077,2,31.47583333,,59.96380952,26,62.54269231,25,51.71423077,2,50.56730769,26,48.35153846,10,57.59,10,60.79230769,25,34.22038462,21,50.27923077,21,47.82038462,18,39.01961538,6,32.57423077,2,31.47583333,,68.94,,50.98809524,,75.28095238,26,63.37307692,26,64.49576923,24,28.50192308,23,70.88652174,7,68.23521739,24,47.06961538,21,70.25346154,21,70.295,6,56.62846154,,38.38,3,50.44846154,1,50.68730769
8,ALB,Albania,Eastern Europe & Eurasia,65.46,40,8,60.54827586,15,63.50758621,10,58.57655172,23,72.21275862,14,63.31413793,12,62.47655172,19,77.75344828,27,41.95034483,18,36.44821429,3,49.46076923,13,68.79172414,5,54.31,2,60.64310345,23,72.21275862,7,73.45241379,7,76.98896552,20,45.45448276,12,62.40793103,11,62.54310345,19,77.75344828,27,41.95034483,18,36.44821429,4,54.72846154,3,44.19769231,10,89.33615385,13,66.10586207,13,69.80931034,8,42.90689655,23,69.03448276,23,86.77310345,15,54.62103448,5,60.33206897,11,56.44689655,6,50.23655172,1,47.99448276,6,62.35,2,58.93724138
12,DZA,Algeria,Mid East & North Africa,57.18,88,12,58.70941176,6,73.89588235,14,48.58529412,10,39.02058824,6,83.98352941,10,57.85058824,6,80.05,3,24.79529412,7,39.15625,14,58.42933333,7,48.41705882,15,42.12235294,11,47.42411765,10,39.02058824,1,86.64823529,5,87.26117647,8,79.52882353,10,60.46058824,9,55.23941176,6,80.05,3,24.79529412,7,39.15625,14,68.724,5,48.13066667,13,73.00133333,6,39.08235294,6,38.98294118,10,13.58176471,6,47.435625,13,89.600625,11,29.32352941,16,62.70764706,16,67.99823529,17,64.81764706,6,41.38529412,5,53.13117647,15,41.71823529
24,AGO,Angola,Sub-Saharan Africa,37.44,170,40,44.89,36,41.97956522,36,46.83108696,21,40.61608696,34,54.94152174,30,14.12304348,26,26.31826087,30,25.57934783,9,14.22571429,7,57.17633333,38,68.05326087,21,46.66391304,8,43.71978261,21,40.61608696,38,81.83891304,38,83.82652174,12,13.10304348,27,14.19565217,31,14.05108696,26,26.31826087,30,25.57934783,9,14.22571429,5,74.763,17,39.58733333,25,59.89933333,37,69.12478261,36,71.375,20,44.20804348,36,71.46,24,83.6025,17,49.55956522,33,45.17934783,8,39.98804348,2,26.20717391,8,42.03434783,12,47.57826087,11,39.86108696
28,ATG,Antigua and Barbuda,Caribbean,59.18,76,6,57.55916667,3,70.7,7,48.79833333,3,40.15583333,3,83.33666667,5,48.41583333,5,61.0775,7,5.836666667,,33.552,5,55.05583333,2,69.46,12,40.7875,4,37.95666667,3,40.15583333,1,100,1,100,3,58.34,5,49.28333333,6,47.54666667,5,61.0775,7,5.836666667,,33.552,9,58.5,3,51.6125,7,66.05166667,1,67.57333333,1,68.10583333,6,78.23666667,,77.39666667,,71.28166667,11,37.94166667,12,51.42416667,3,67.79583333,8,48.61083333,,30.288,4,42.0125,3,33.9025
32,ARG,Argentina,Latin America,59.3,74,9,58.173,2,66.851,19,52.387,5,48.3335,3,75.553,3,51.082,9,57.3915,2,30.836,14,18.441,17,58.86611111,18,76.5735,12,48.9085,17,36.302,5,48.3335,1,96.1595,15,94.8045,3,45.66,3,51.734,3,50.43,9,57.3915,2,30.836,14,18.441,16,58.61444444,9,59.11777778,8,86.33388889,19,79.4635,15,75.829,19,68.821,18,77.784,12,60.102,13,45.5225,4,62.321,5,58.982,2,40.4455,15,43.75222222,19,40.318,7,32.286
51,ARM,Armenia,Eastern Europe & Eurasia,62.07,63,17,60.54827586,25,63.50758621,9,58.57655172,16,72.21275862,24,63.31413793,17,62.47655172,14,77.75344828,23,41.95034483,5,36.44821429,,49.46076923,12,68.79172414,18,54.31,12,60.64310345,16,72.21275862,22,73.45241379,22,76.98896552,18,45.45448276,18,62.40793103,15,62.54310345,14,77.75344828,23,41.95034483,5,36.44821429,,54.72846154,,44.19769231,,89.33615385,9,66.10586207,1,69.80931034,22,42.90689655,20,69.03448276,8,86.77310345,18,54.62103448,21,60.33206897,15,56.44689655,9,50.23655172,11,47.99448276,1,62.35,28,58.93724138
36,AUS,Australia,Pacific,74.12,21,2,57.89875,1,66.08375,4,52.445,4,59.56375,1,73.645,1,50.78375,1,61.775,1,19.7125,4,21.436,5,62.1575,3,62.83375,5,48.54625,7,53.04875,4,59.56375,1,100,1,100,1,34.10875,1,52.1425,1,49.425,1,61.775,1,19.7125,4,21.436,8,61.215,1,63.1,1,80.7375,4,58.84875,4,57.87125,2,23.46375,2,54.74833333,4,86.235,5,49.15125,2,42.86875,5,44.0875,5,54.885,2,61.2,7,50.4825,7,55.615
40,AUT,Austria,Europe & North America,78.97,8,8,77.90318182,21,93.45409091,3,67.53545455,7,80.32090909,21,92.53227273,19,97.64045455,8,96.55818182,2,47.83454545,7,19.8525,,50.49947368,9,88.71954545,12,62.02590909,7,68.815,7,80.32090909,21,93.07681818,21,92.92909091,18,91.82409091,19,96.49409091,14,98.78454545,8,96.55818182,2,47.83454545,7,19.8525,,56.48052632,,44.51842105,,92.74210526,1,91.41954545,1,92.94363636,3,61.67863636,19,94.60285714,12,83.03761905,15,55.41272727,6,77.68954545,14,53.61818182,19,69.37272727,9,63.16045455,7,72.68045455,9,64.95136364
31,AZE,Azerbaijan,Eastern Europe & Eurasia,62.33,59,16,60.54827586,28,63.50758621,2,58.57655172,22,72.21275862,27,63.31413793,26,62.47655172,22,77.75344828,19,41.95034483,4,36.44821429,,49.46076923,20,68.79172414,3,54.31,1,60.64310345,22,72.21275862,24,73.45241379,25,76.98896552,23,45.45448276,26,62.40793103,26,62.54310345,22,77.75344828,19,41.95034483,4,36.44821429,,54.72846154,,44.19769231,,89.33615385,19,66.10586207,19,69.80931034,25,42.90689655,13,69.03448276,3,86.77310345,1,54.62103448,29,60.33206897,4,56.44689655,1,50.23655172,20,47.99448276,4,62.35,1,58.93724138
