code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
4,AFG,Afghanistan,31.44,36.18,49.52,13.33,0,28.28,13.1,45.15,,27.6,71.44,0,44.77,0,81.08,83.97,12.8,13.86,0,,0.07,0.18,2.59,4.44,94.7,45.15,,,24.81,,28.79,35.49,54.01,66.05,76.83,0,44.77
8,ALB,Albania,56.27,64.71,65.78,63.52,57.85,50.65,44.34,25.31,82.73,54.17,33.09,80.73,22.61,19.1,100,93.8,63.22,63.81,57.85,77.71,34.25,30.62,12.04,40.56,93.64,25.31,65.46,100,32.28,100,64.46,49.38,53.39,35.32,30.87,80.73,22.61
12,DZA,Algeria,58.46,72.15,84.66,52.36,28.24,49.33,49.49,23.49,55.06,39.8,62.85,91.6,34.26,62.16,100,99.33,54.42,50.29,28.24,57.34,43.33,46.31,52.58,4.46,91.36,23.49,98.37,11.75,53.06,46.35,0.07,32.62,47.22,64.36,61.34,91.6,34.26
24,AGO,Angola,34.12,32.64,47.62,0,33.77,35.1,39.56,38.1,72.26,30.42,39.11,0,22.7,4.14,73,80.22,0,0,33.77,23.48,34.14,37.07,34.58,40.37,96.67,38.1,69.25,75.28,35.63,40.18,4.83,34.38,37.75,39.1,39.13,0,22.7
28,ATG,Antigua and Barbuda,56.26,73.37,85.04,52.99,43.88,44.85,53.63,,76.59,28.83,38.44,64.44,7.26,62.61,100,100,54.12,51.87,43.88,60.44,34.3,61.22,,63.53,,,80.41,72.77,29.78,,15.97,50.83,45.02,42.86,34.02,64.44,7.26
32,ARG,Argentina,55.11,74.05,80.14,64.65,51.22,42.48,53.98,10.09,75.88,21.48,32,72.13,70.69,53.56,100,95.72,65.52,63.79,51.22,81.01,39.69,52.15,43.48,16.45,90.76,10.09,85.17,66.59,30.36,22.41,0,0,36.3,28.02,35.98,72.13,70.69
51,ARM,Armenia,64.26,52.34,52.26,51.01,61.34,72.2,78.46,55.04,,69.91,87.81,84.51,33.19,24.16,65.84,76.15,48.72,53.3,61.34,,99.99,100,53.64,22.35,98.03,55.04,,,72.02,49.82,78.83,63.39,100,100,75.63,84.51,33.19
36,AUS,Australia,70.94,96,97.51,99.31,56.47,54.24,71.72,12.85,60.89,44.6,37.23,99.44,37.79,93.76,100,100,100,98.62,56.47,98.64,59.12,61.26,77.97,27.2,96.06,12.85,63.48,58.3,42.68,45.12,41.69,45.21,72.7,20.11,54.35,99.44,37.79
40,AUT,Austria,74.12,83.96,81.4,89.85,81.95,67.57,90.28,23.31,,51.51,69.8,99.08,71.34,76.51,84.52,84.78,85.54,94.16,81.95,,100,100,77.44,76.45,90.91,23.31,,,29.64,65.06,94.98,44.64,49.09,86.43,53.17,99.08,71.34
31,AZE,Azerbaijan,60.11,45.86,49.77,36.01,54.09,69.62,56.23,53.84,,78.75,99.99,76.03,39.76,20.78,66.1,72.11,33.48,38.54,54.09,,42.67,51.97,74.91,11.77,98.94,53.84,,,100,37.47,66.57,83.28,75.58,100,99.98,76.03,39.76
44,BHS,Bahamas,62.67,72.33,81.96,56.62,41.34,56.23,83.74,29.18,66.68,52.7,30.69,64.44,7.72,54.91,100,100,58.61,54.63,41.34,77.94,99.13,99.15,65.69,53.88,99.7,29.18,93.98,39.38,46.13,,65.36,95.8,50.84,31.52,29.87,64.44,7.72
48,BHR,Bahrain,47.94,58.12,59.5,59.62,31.28,41.15,30.75,,51.98,39.15,9.41,96.54,36.22,57.03,56.8,65.5,62.41,56.83,31.28,82.1,12.63,12.63,,0.55,,,81.6,22.36,35.58,35.85,21.94,97.71,98.33,0.09,18.73,96.54,36.22
50,BGD,Bangladesh,27.64,7.21,2.01,17.93,10.53,41.26,52.58,32.54,63.67,38.15,51.65,0,37.82,5.01,0,0,17.42,18.45,10.53,90.86,17.96,81.05,21.22,4.65,98.94,32.54,99.49,27.84,39.12,31.44,40.57,37.08,46.62,56.87,46.42,0,37.82
52,BRB,Barbados,52.66,84.38,100,55.63,53.89,31.52,25.41,,53.04,20.57,35.86,64.44,10.23,100,100,100,55.94,55.31,53.89,45.38,6.08,6.08,,62.75,,,44.04,62.04,18.83,,9.79,57.05,51.51,35.84,35.87,64.44,10.23
112,BLR,Belarus,68.95,70.08,72.25,66.5,63.39,68.19,60.94,22.52,,75.76,100,97.54,28.1,50.22,86.03,87.83,63.96,69.03,63.39,,53.94,53.94,70.07,35.67,95.91,22.52,,,98.59,39.38,59.68,61.5,71.55,100,100,97.54,28.1
56,BEL,Belgium,77.47,86.38,85.93,93.79,47.64,71.52,94.64,24.18,61.04,67.05,70.36,98.08,47.61,87.83,81.79,87.55,92.39,95.19,47.64,100,100,100,100,68.56,77.87,24.18,59.43,62.65,59.84,58.18,98.95,36.85,77.3,80.45,60.28,98.08,47.61
84,BLZ,Belize,60.34,61.99,72.47,42.43,43,59.24,98.11,16.34,60.18,56.28,30.19,59,25.14,31.18,100,100,42.76,42.11,43,97.66,100,100,99.85,100,86.06,16.34,66.54,53.82,67.85,,20.76,40.56,52.14,33.76,26.62,59,25.14
204,BEN,Benin,38.04,38.05,55.11,2.71,28.4,38.03,75.55,0,59.98,25,30.22,10.7,31.11,3.05,89.83,89.79,2.4,3.01,28.4,0,100,100,96.95,65.69,95.91,0,82.12,37.84,21,23.13,34.71,27.17,31.46,42.09,18.34,10.7,31.11
64,BTN,Bhutan,53.13,33.64,38.66,24.14,25.36,66.13,95.42,70.36,,80.09,29.41,0,33.15,12.27,51.48,61.02,21.57,26.7,25.36,,100,100,99.54,64.54,99.7,70.36,,,87.25,,67.78,68.87,40.26,30.93,27.88,0,33.15
68,BOL,Bolivia,53.35,53.38,65.89,28.83,37.98,53.33,88.51,24.82,,30.38,51.88,63.66,54.41,18,100,95.65,28.98,28.68,37.98,,97.14,96.97,85.12,60.41,89.24,24.82,,,38.62,34.36,10.27,14.67,28.29,63.5,40.25,63.66,54.41
