WLCODE,YEAR_OBS,January(POSTMONSOONRABI),Mar/Apr/May(PREMONSOON),August(MONSOON),November(POSTMONSOONKHARIF)
W07385,2009,undefined,undefined,2.3,undefined
W07385,2010,undefined,undefined,1.2,undefined
W07385,2011,undefined,undefined,0.2,undefined
W07385,2012,undefined,undefined,0,undefined
W25884,2013,undefined,undefined,2.3,undefined
W07385,2013,undefined,undefined,2.35,undefined
W25884,2014,undefined,undefined,1.1,undefined
W07385,2014,undefined,undefined,1.55,undefined
W25884,2015,undefined,undefined,2.4,undefined
W07385,2015,undefined,undefined,3.31,undefined
W25884,2016,undefined,undefined,1.6,undefined
W07385,2016,undefined,undefined,3.8,undefined
W25884,2017,undefined,undefined,2.1,undefined
W25884,2017,undefined,undefined,0,undefined
W07385,2017,undefined,undefined,0,undefined
W07385,2017,undefined,undefined,2.63,undefined
W25884,2018,undefined,undefined,0,undefined
W25884,2018,undefined,undefined,0,undefined
W07385,2018,undefined,undefined,0,undefined
W07385,2018,undefined,undefined,0,undefined
